"";"Občina";"Leto";"Število.dokončanih.stanovanj.na.1000.prebivalcev";"Povprečna.površina.dokončanih.stanovanj..m2."
"537";"Dobrova - Polhov Gradec";2011;"0.9";247
"538";"Dobrova - Polhov Gradec";2012;"1.2";195
"539";"Dobrova - Polhov Gradec";2013;"1.5";184
"540";"Dobrova - Polhov Gradec";2014;"2.7";167
"541";"Dobrova - Polhov Gradec";2015;"0.9";171
"542";"Dobrova - Polhov Gradec";2016;"2.0";191
"543";"Dobrova - Polhov Gradec";2017;"1.3";163
"544";"Dobrovnik/Dobronak";2017;NA;NA
"545";"Dobrovnik/Dobronak";2002;"2.9";191
"546";"Dobrovnik/Dobronak";2003;"2.9";202
"547";"Dobrovnik/Dobronak";2004;"3.6";187
"548";"Dobrovnik/Dobronak";2005;"0.7";211
"549";"Dobrovnik/Dobronak";2006;"2.2";174
"550";"Dobrovnik/Dobronak";2007;"0.7";227
"551";"Dobrovnik/Dobronak";2008;"0.0";0
"552";"Dobrovnik/Dobronak";2009;"3.0";149
"553";"Dobrovnik/Dobronak";2010;"3.0";144
"554";"Dobrovnik/Dobronak";2011;"0.7";70
"555";"Dobrovnik/Dobronak";2012;"0.0";0
"556";"Dobrovnik/Dobronak";2013;"0.8";175
"557";"Dobrovnik/Dobronak";2014;"3.1";91
"558";"Dobrovnik/Dobronak";2015;"2.4";88
"559";"Dobrovnik/Dobronak";2016;"1.6";104
"560";"Dobrovnik/Dobronak";2017;"3.9";92
"561";"Dol pri Ljubljani";2017;NA;NA
"562";"Dol pri Ljubljani";2002;"4.1";116
"563";"Dol pri Ljubljani";2003;"2.9";128
"564";"Dol pri Ljubljani";2004;"13.0";84
"565";"Dol pri Ljubljani";2005;"3.8";132
"566";"Dol pri Ljubljani";2006;"6.2";136
"567";"Dol pri Ljubljani";2007;"10.6";81
"568";"Dol pri Ljubljani";2008;"7.5";91
"569";"Dol pri Ljubljani";2009;"32.9";90
"570";"Dol pri Ljubljani";2010;"3.0";155
"571";"Dol pri Ljubljani";2011;"2.5";195
"572";"Dol pri Ljubljani";2012;"3.0";179
"573";"Dol pri Ljubljani";2013;"1.9";168
"574";"Dol pri Ljubljani";2014;"0.7";237
"575";"Dol pri Ljubljani";2015;"0.8";137
"576";"Dol pri Ljubljani";2016;"0.5";183
"577";"Dol pri Ljubljani";2017;"6.4";105
"578";"Dolenjske Toplice";2017;NA;NA
"579";"Dolenjske Toplice";2002;"2.4";125
"580";"Dolenjske Toplice";2003;"0.9";108
"581";"Dolenjske Toplice";2004;"0.3";283
"582";"Dolenjske Toplice";2005;"0.6";119
"583";"Dolenjske Toplice";2006;"0.3";90
"584";"Dolenjske Toplice";2007;"3.8";192
"585";"Dolenjske Toplice";2008;"1.5";163
"586";"Dolenjske Toplice";2009;"1.8";152
"587";"Dolenjske Toplice";2010;"1.5";120
"588";"Dolenjske Toplice";2011;"1.5";145
"589";"Dolenjske Toplice";2012;"1.8";151
"590";"Dolenjske Toplice";2013;"1.8";157
"591";"Dolenjske Toplice";2014;"0.3";98
"592";"Dolenjske Toplice";2015;"1.5";144
"593";"Dolenjske Toplice";2016;"1.5";249
"594";"Dolenjske Toplice";2017;"1.7";170
"595";"Domžale";2017;NA;NA
"596";"Domžale";2002;"5.7";100
"597";"Domžale";2003;"1.1";116
"598";"Domžale";2004;"6.7";97
"599";"Domžale";2005;"1.7";145
"600";"Domžale";2006;"4.2";107
"601";"Domžale";2007;"4.2";92
"602";"Domžale";2008;"3.8";127
"603";"Domžale";2009;"2.3";111
"604";"Domžale";2010;"4.1";98
"605";"Domžale";2011;"1.0";152
"606";"Domžale";2012;"0.7";164
"607";"Domžale";2013;"1.0";156
"608";"Domžale";2014;"1.0";163
"609";"Domžale";2015;"0.9";151
"610";"Domžale";2016;"0.9";175
"611";"Domžale";2017;"0.9";161
"612";"Dornava";2017;NA;NA
"613";"Dornava";2002;"2.2";103
"614";"Dornava";2003;"3.0";171
"615";"Dornava";2004;"3.4";122
"616";"Dornava";2005;"0.7";113
"617";"Dornava";2006;"3.0";103
"618";"Dornava";2007;"1.5";84
"619";"Dornava";2008;"2.4";107
"620";"Dornava";2009;"7.1";68
"621";"Dornava";2010;"2.0";103
"622";"Dornava";2011;"1.7";156
"623";"Dornava";2012;"2.7";154
"624";"Dornava";2013;"0.7";66
"625";"Dornava";2014;"1.7";142
"626";"Dornava";2015;"1.7";124
"627";"Dornava";2016;"2.8";173
"628";"Dornava";2017;"3.8";108
"629";"Dravograd";2017;NA;NA
"630";"Dravograd";2002;"5.4";96
"631";"Dravograd";2003;"5.3";112
"632";"Dravograd";2004;"5.9";93
"633";"Dravograd";2005;"1.6";106
"634";"Dravograd";2006;"5.3";90
"635";"Dravograd";2007;"2.6";80
"636";"Dravograd";2008;"2.3";119
"637";"Dravograd";2009;"3.3";88
"638";"Dravograd";2010;"2.4";124
"639";"Dravograd";2011;"1.3";137
"640";"Dravograd";2012;"1.8";96
"641";"Dravograd";2013;"2.2";125
"642";"Dravograd";2014;"1.7";142
"643";"Dravograd";2015;"1.7";103
"644";"Dravograd";2016;"0.9";182
"645";"Dravograd";2017;"0.8";134
