"";"Investitor";"Regija";"Tip.objekta";"Leto";"Število.stavb";"Površina.stavb.......m2."
"197";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2016;51;8171
"198";"Investitor - SKUPAJ";"Zasavska";"Nestanovanjske stavbe";2017;24;14130
"199";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2007;230;77415
"200";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2008;303;100488
"201";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2009;261;99502
"202";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2010;220;51028
"203";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2011;188;45499
"204";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2012;135;33338
"205";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2013;144;35792
"206";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2014;176;47511
"207";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2015;412;60721
"208";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2016;475;76716
"209";"Investitor - SKUPAJ";"Posavska";"Tip stavbe - SKUPAJ";2017;429;75829
"210";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2007;130;45231
"211";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2008;190;51460
"212";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2009;153;40069
"213";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2010;129;31860
"214";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2011;90;23340
"215";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2012;80;19082
"216";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2013;94;25093
"217";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2014;122;29467
"218";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2015;110;25760
"219";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2016;111;25978
"220";"Investitor - SKUPAJ";"Posavska";"Stanovanjske stavbe";2017;112;26397
"221";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2007;100;32184
"222";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2008;113;49028
"223";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2009;108;59433
"224";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2010;91;19168
"225";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2011;98;22159
"226";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2012;55;14256
"227";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2013;50;10699
"228";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2014;54;18044
