"";"Občine";"Leto";"Število.obsojenih.polnoletnih.in.mladoletnih.oseb"
"562";"Grosuplje";2015;"86"
"563";"Grosuplje";2016;"69"
"564";"Hajdina";2016;NA
"565";"Hajdina";2006;"6"
"566";"Hajdina";2007;"11"
"567";"Hajdina";2008;"26"
"568";"Hajdina";2009;"13"
"569";"Hajdina";2010;"17"
"570";"Hajdina";2011;"16"
"571";"Hajdina";2012;"20"
"572";"Hajdina";2013;"27"
"573";"Hajdina";2014;"15"
"574";"Hajdina";2015;"15"
"575";"Hajdina";2016;"21"
"576";"Hoče - Slivnica";2016;NA
"577";"Hoče - Slivnica";2006;"13"
"578";"Hoče - Slivnica";2007;"19"
"579";"Hoče - Slivnica";2008;"33"
"580";"Hoče - Slivnica";2009;"40"
"581";"Hoče - Slivnica";2010;"38"
"582";"Hoče - Slivnica";2011;"23"
"583";"Hoče - Slivnica";2012;"28"
"584";"Hoče - Slivnica";2013;"39"
"585";"Hoče - Slivnica";2014;"34"
"586";"Hoče - Slivnica";2015;"50"
"587";"Hoče - Slivnica";2016;"51"
"588";"Hodoš/Hodos";2016;NA
"589";"Hodoš/Hodos";2006;"4"
"590";"Hodoš/Hodos";2007;"z"
"591";"Hodoš/Hodos";2008;"7"
"592";"Hodoš/Hodos";2009;"0"
"593";"Hodoš/Hodos";2010;"4"
"594";"Hodoš/Hodos";2011;"0"
"595";"Hodoš/Hodos";2012;"z"
"596";"Hodoš/Hodos";2013;"0"
"597";"Hodoš/Hodos";2014;"0"
"598";"Hodoš/Hodos";2015;"z"
"599";"Hodoš/Hodos";2016;"5"
"600";"Horjul";2016;NA
"601";"Horjul";2006;"z"
"602";"Horjul";2007;"z"
"603";"Horjul";2008;"3"
"604";"Horjul";2009;"3"
"605";"Horjul";2010;"3"
"606";"Horjul";2011;"z"
"607";"Horjul";2012;"z"
"608";"Horjul";2013;"6"
"609";"Horjul";2014;"6"
"610";"Horjul";2015;"6"
"611";"Horjul";2016;"z"
"612";"Hrastnik";2016;NA
"613";"Hrastnik";2006;"21"
"614";"Hrastnik";2007;"44"
"615";"Hrastnik";2008;"60"
"616";"Hrastnik";2009;"42"
"617";"Hrastnik";2010;"56"
"618";"Hrastnik";2011;"29"
"619";"Hrastnik";2012;"32"
"620";"Hrastnik";2013;"46"
"621";"Hrastnik";2014;"39"
"622";"Hrastnik";2015;"23"
"623";"Hrastnik";2016;"22"
"624";"Hrpelje - Kozina";2016;NA
"625";"Hrpelje - Kozina";2006;"10"
"626";"Hrpelje - Kozina";2007;"5"
"627";"Hrpelje - Kozina";2008;"13"
"628";"Hrpelje - Kozina";2009;"17"
"629";"Hrpelje - Kozina";2010;"7"
"630";"Hrpelje - Kozina";2011;"14"
"631";"Hrpelje - Kozina";2012;"12"
"632";"Hrpelje - Kozina";2013;"15"
"633";"Hrpelje - Kozina";2014;"14"
"634";"Hrpelje - Kozina";2015;"18"
"635";"Hrpelje - Kozina";2016;"14"
"636";"Idrija";2016;NA
"637";"Idrija";2006;"16"
"638";"Idrija";2007;"22"
"639";"Idrija";2008;"23"
"640";"Idrija";2009;"10"
"641";"Idrija";2010;"21"
"642";"Idrija";2011;"20"
"643";"Idrija";2012;"21"
"644";"Idrija";2013;"27"
"645";"Idrija";2014;"21"
"646";"Idrija";2015;"18"
"647";"Idrija";2016;"16"
"648";"Ig";2016;NA
"649";"Ig";2006;"17"
"650";"Ig";2007;"20"
"651";"Ig";2008;"30"
"652";"Ig";2009;"16"
"653";"Ig";2010;"23"
"654";"Ig";2011;"18"
"655";"Ig";2012;"17"
"656";"Ig";2013;"36"
"657";"Ig";2014;"19"
"658";"Ig";2015;"24"
"659";"Ig";2016;"13"
"660";"Ilirska Bistrica";2016;NA
"661";"Ilirska Bistrica";2006;"30"
"662";"Ilirska Bistrica";2007;"42"
"663";"Ilirska Bistrica";2008;"45"
"664";"Ilirska Bistrica";2009;"45"
"665";"Ilirska Bistrica";2010;"29"
"666";"Ilirska Bistrica";2011;"52"
"667";"Ilirska Bistrica";2012;"29"
"668";"Ilirska Bistrica";2013;"39"
"669";"Ilirska Bistrica";2014;"37"
"670";"Ilirska Bistrica";2015;"21"
"671";"Ilirska Bistrica";2016;"27"
"672";"Ivančna Gorica";2016;NA
"673";"Ivančna Gorica";2006;"36"
"674";"Ivančna Gorica";2007;"17"
"675";"Ivančna Gorica";2008;"29"
"676";"Ivančna Gorica";2009;"17"
"677";"Ivančna Gorica";2010;"19"
"678";"Ivančna Gorica";2011;"21"
"679";"Ivančna Gorica";2012;"14"
"680";"Ivančna Gorica";2013;"43"
"681";"Ivančna Gorica";2014;"26"
"682";"Ivančna Gorica";2015;"37"
"683";"Ivančna Gorica";2016;"35"
"684";"Izola/Isola";2016;NA
"685";"Izola/Isola";2006;"90"
"686";"Izola/Isola";2007;"83"
"687";"Izola/Isola";2008;"75"
"688";"Izola/Isola";2009;"76"
"689";"Izola/Isola";2010;"74"
"690";"Izola/Isola";2011;"57"
"691";"Izola/Isola";2012;"71"
"692";"Izola/Isola";2013;"108"
"693";"Izola/Isola";2014;"91"
"694";"Izola/Isola";2015;"52"
"695";"Izola/Isola";2016;"45"
"696";"Jesenice";2016;NA
"697";"Jesenice";2006;"147"
"698";"Jesenice";2007;"147"
"699";"Jesenice";2008;"152"
"700";"Jesenice";2009;"100"
"701";"Jesenice";2010;"95"
"702";"Jesenice";2011;"95"
"703";"Jesenice";2012;"102"
"704";"Jesenice";2013;"95"
"705";"Jesenice";2014;"105"
"706";"Jesenice";2015;"59"
"707";"Jesenice";2016;"74"
"708";"Jezersko";2016;NA
"709";"Jezersko";2006;"z"
"710";"Jezersko";2007;"z"
"711";"Jezersko";2008;"z"
"712";"Jezersko";2009;"z"
"713";"Jezersko";2010;"0"
"714";"Jezersko";2011;"z"
"715";"Jezersko";2012;"z"
"716";"Jezersko";2013;"4"
"717";"Jezersko";2014;"0"
"718";"Jezersko";2015;"0"
"719";"Jezersko";2016;"0"
"720";"Juršinci";2016;NA
"721";"Juršinci";2006;"5"
"722";"Juršinci";2007;"8"
"723";"Juršinci";2008;"11"
"724";"Juršinci";2009;"9"
"725";"Juršinci";2010;"10"
"726";"Juršinci";2011;"11"
"727";"Juršinci";2012;"5"
"728";"Juršinci";2013;"8"
"729";"Juršinci";2014;"6"
"730";"Juršinci";2015;"7"
"731";"Juršinci";2016;"10"
"732";"Kamnik";2016;NA
"733";"Kamnik";2006;"125"
"734";"Kamnik";2007;"134"
"735";"Kamnik";2008;"102"
"736";"Kamnik";2009;"72"
"737";"Kamnik";2010;"82"
"738";"Kamnik";2011;"104"
"739";"Kamnik";2012;"85"
"740";"Kamnik";2013;"141"
"741";"Kamnik";2014;"92"
"742";"Kamnik";2015;"96"
"743";"Kamnik";2016;"82"
"744";"Kanal";2016;NA
"745";"Kanal";2006;"11"
"746";"Kanal";2007;"11"
"747";"Kanal";2008;"9"
"748";"Kanal";2009;"12"
"749";"Kanal";2010;"12"
"750";"Kanal";2011;"8"
"751";"Kanal";2012;"8"
"752";"Kanal";2013;"14"
"753";"Kanal";2014;"13"
"754";"Kanal";2015;"14"
