Obsojeni polnoletni in mladoletni po: OBÈINE, KAZALNIK , LETO;;;;;;;;;;;
;;;;;;;;;;;
 ;Obsojeni polnoletni in mladoletni na 1000 prebivalcev; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Podvelka;2.jun;5.feb;5.mar;4.feb;5.avg;5.jan;4.apr;4.jan;2.maj;2.sep;2.jan
Poljèane;0.0;2.maj;2.jul;2.jun;5.maj;2.0;3.mar;2.sep;3.apr;3.apr;1.apr
Polzela;2.maj;3.feb;3.jun;3.feb;3.apr;2.maj;2.0;4.mar;4.jun;3.jun;4.jan
Postojna;6.apr;4.avg;5.avg;3.avg;5.jan;3.sep;4.0;4.jul;5.0;5.mar;2.sep
Prebold;2.feb;1.jul;1.maj;2.mar;2.jul;1.apr;2.jun;2.avg;3.0;2.apr;2.0
Preddvor;2.feb;2.maj;2.mar;2.jun;1.apr;z;2.feb;4.feb;3.apr;3.jan;z
Prevalje;4.jul;2.apr;3.sep;3.feb;2.feb;4.jul;3.sep;4.apr;3.mar;3.0;3.jan
Ptuj;6.feb;7.feb;9.0;7.mar;6.mar;6.maj;5.jan;8.apr;7.jan;5.0;4.jan
Puconci;2.apr;2.jul;3.sep;4.jan;4.jan;2.sep;3.mar;3.jan;3.jun;2.maj;4.jul
Raèe - Fram;3.mar;3.0;4.0;4.apr;3.jan;3.avg;4.0;2.jan;2.apr;3.jan;2.avg
Radeèe;0.9;1.maj;2.sep;2.feb;2.feb;2.jul;2.0;4.jan;4.apr;3.maj;2.jun
Radenci;3.jun;4.sep;4.feb;7.feb;3.avg;4.avg;5.sep;6.maj;2.sep;4.0;4.jan
Radlje ob Dravi;5.apr;3.maj;4.maj;4.maj;3.apr;4.jan;3.maj;6.maj;3.mar;3.avg;2.apr
Radovljica;3.jul;3.0;3.apr;2.0;2.avg;3.jan;3.maj;2.sep;3.apr;2.maj;2.0
Ravne na Koroškem;4.apr;4.sep;5.jan;5.mar;5.maj;5.jan;6.feb;9.jul;3.jul;4.avg;1.sep
Razkrižje;2.feb;z;3.jul;z;0.0;z;3.0;z;0.0;2.mar;z
Reèica ob Savinji;0.0;0.0;z;0.0;z;0.0;z;z;2.maj;2.jan;2.feb
Renèe - Vogrsko;0.0;2.jan;3.apr;3.maj;1.feb;3.maj;3.jul;2.mar;2.jan;1.apr;2.maj
Ribnica;4.maj;5.jun;5.apr;5.sep;3.mar;7.apr;5.maj;9.0;5.avg;5.sep;4.jun
Ribnica na Pohorju;0.0;5.jun;5.jun;4.avg;4.0;8.feb;5.0;z;z;z;0.0
Rogaška Slatina;3.jun;3.avg;2.apr;2.avg;3.apr;2.avg;4.jul;4.maj;4.apr;2.jan;2.apr
Rogašovci;1.avg;4.avg;4.sep;3.jan;4.0;2.maj;z;4.jul;2.sep;4.feb;4.feb
Rogatec;3.jul;2.avg;1.sep;2.jun;1.sep;1.sep;1.jun;4.jan;3.feb;3.feb;1.jun
Ruše;6.maj;4.jul;5.sep;7.apr;6.sep;7.apr;4.jul;7.avg;6.0;4.feb;4.apr
Selnica ob Dravi;1.avg;2.sep;3.jul;3.maj;3.mar;3.jul;2.feb;4.jul;2.jul;1.jan;4.feb
Semiè;8.maj;10.maj;6.0;6.jan;4.apr;13.mar;8.avg;13.jun;10.avg;8.jul;7.sep
Sevnica;4.jan;3.sep;4.apr;3.mar;3.mar;2.avg;2.jun;2.jul;2.0;3.mar;2.feb
Sežana;3.avg;1.avg;2.jun;2.jan;2.jun;1.sep;2.jul;3.feb;2.apr;3.mar;2.apr
Slovenj Gradec;5.0;5.sep;4.apr;4.maj;4.0;4.jan;4.sep;5.jan;3.jun;4.0;2.maj
Slovenska Bistrica;2.apr;4.0;5.mar;4.apr;5.apr;4.0;4.0;4.feb;4.sep;3.jul;3.0
Slovenske Konjice;3.apr;4.feb;4.mar;3.avg;4.jul;6.jan;4.avg;6.feb;4.feb;3.sep;2.sep
Sodražica;1.avg;2.mar;1.avg;z;1.avg;2.avg;1.avg;2.mar;1.avg;2.avg;z
Solèava;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;z;0.0
Središèe ob Dravi;0.0;1.mar;0.0;0.0;z;1.apr;z;z;z;0.0;2.maj
Starše;2.0;2.0;3.0;2.sep;2.apr;3.jun;3.sep;3.sep;2.maj;3.sep;1.jul
Straža;0.0;0.8;2.apr;3.apr;4.feb;1.avg;3.jun;4.jul;3.jan;4.feb;6.0
Sveta Ana;2.maj;1.mar;2.jan;3.0;2.maj;2.jan;6.0;2.jun;2.jan;6.sep;2.jun
Sveta Trojica v Slov. goricah;0.0;3.jan;2.jul;1.avg;1.apr;1.sep;3.mar;1.apr;z;2.sep;4.apr
Sveti Andraž v Slov. goricah;z;0.0;z;z;z;z;z;0.0;z;5.jan;z
Sveti Jurij ob Šèavnici;4.maj;3.jan;3.jan;3.maj;3.jan;2.avg;4.jan;5.maj;4.sep;2.avg;4.feb
Sveti Jurij v Slov. goricah;0.0;z;2.avg;3.avg;0.0;1.apr;1.apr;1.apr;z;z;1.sep
Sveti Tomaž;0.0;2.jul;3.mar;1.sep;2.sep;4.jul;3.avg;4.avg;z;2.sep;2.maj
Šalovci;z;7.feb;4.sep;4.apr;3.feb;3.feb;4.jun;2.jun;4.jul;z;4.sep
Šempeter - Vrtojba;2.mar;1.apr;2.feb;3.jun;2.feb;2.avg;2.maj;3.apr;1.jul;2.sep;1.jun
