Prebivalstvo po: SPOL, STATISTIÈNA REGIJA, LETO , STAROST;;;;
;;;;
Spol - SKUPAJ;;;;
zato podatki po tej definiciji, torej podatki od leta 2009 dalje, ;;;;
niso neposredno primerljivi s podatki za predhodna leta. ;;;;
 ;;;;
Viri: Statistièni urad Republike Slovenije, Ministrstvo za notranje ;;;;
zadeve - Centralni register prebivalstva, Ministrstvo za notranje ;;;;
zadeve - Direktorat za upravne notranje zadeve.;;;;
;;;;
Povezane vsebine: ;;;;
- (seznam HREF=http://www.stat.si/StatWeb/File/DocSysFile/7808 ;;;;
target=_blank) Metodološka pojasnila ;;;;
;;;;
Podatki so teritorialno razvršèeni po uredbi o Standardni ;;;;
klasifikaciji teritorialnih enot ((seznam ;;;;
HREF=../database/Meta/Klas/SKTE.htm TARGET=_blank) opis in ;;;;
pojasnila), raven SKTE 3. ;;;;
Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni ;;;;
regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za ;;;;
opombe (zvezdica). V opombah je na zaèetku naveden datum, s katerim ;;;;
je opisana teritorialna sprememba upoštevana pri teritorialnem ;;;;
razvršèanju enot za statistiène namene.  ;;;;
 ;;;;
;;;;
15.01.2005: Zaradi sprememb meja naselij (Marija Reka in Knezdol) in ;;;;
obèin (Prebold in Trbovlje) sta se posledièno spremenili meji med ;;;;
savinjsko in zasavsko statistièno regijo. Savinjska statistièna ;;;;
"regija se je zmanjšala za 0,2 km2; za prav toliko se je poveèala ";;;;
zasavska statistièna regija.  ;;;;
 ;;;;
;;;;
15.01.2005: Zaradi sprememb meja naselij (Marija Reka in Knezdol) in ;;;;
obèin (Prebold in Trbovlje) sta se posledièno spremenili meji med ;;;;
savinjsko in zasavsko statistièno regijo. Savinjska statistièna ;;;;
"regija se je zmanjšala za 0,2 km2; za prav toliko se je poveèala ";;;;
zasavska statistièna regija.  ;;;;
 ;;;;
;;;;
30. 3. 2000 je bil po Uredbi o SKTE iz dotedanje osrednjeslovenske ;;;;
statistiène regije izloèen njen južni del (obèine Koèevje, Kostel, ;;;;
Loški Potok, Osilnica, Ribnica, Sodražica) in pripojen k dotedanji ;;;;
"dolenjski statistièni regiji; ta se je zato poveèala (za  985 km2 ) ";;;;
in je dobila novo ime – jugovzhodna Slovenija ;;;;
 Uradni list št. 28/00. ;;;;
;;;;
30. 3. 2000 je bil po Uredbi o SKTE iz dotedanje osrednjeslovenske ;;;;
statistiène regije izloèen njen južni del (obèine Koèevje, Kostel, ;;;;
Loški Potok, Osilnica, Ribnica, Sodražica) in pripojen k dotedanji ;;;;
"dolenjski statistièni regiji; ta se je zato poveèala (za  985 km2 ) ";;;;
in je dobila novo ime – jugovzhodna Slovenija ;;;;
 Uradni list št. 28/00. ;;;;
;;;;
Stanje na 1.1. ;;;;
;;;;
Podatke o prebivalstvu za stanje 1. 1. 2011 smo v Sloveniji ;;;;
pripravili tudi v skladu z Uredbo (ES) št. 763/2008 Evropskega ;;;;
parlamenta in Sveta z dne 9. julija 2008 o popisih prebivalstva in ;;;;
stanovanj (Uradni list Evropske unije L 218/14, 13. avgust 2008).;;;;
;;;;
Starost je èas, ki ga je oseba preživela od rojstva do trenutka ;;;;
statistiènega opazovanja. Izražena je v dopolnjenih letih starosti.;;;;
