"";"Občina";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017"
"184";"Tabor";676,39;736,41;795,1;842,14;793,11;843,58;836,29;943,56;818,55;809,07;799,18;794,96;821,26
"185";"Tišina";769,22;776,73;799,86;776,1;815,11;942,75;946,05;914,11;912,51;929,17;926,52;926,58;940,99
"186";"Tolmin";658,15;696,29;739,42;802,22;822,11;868,46;898,84;912,19;930,7;931,53;946,88;964,74;995,17
"187";"Trbovlje";767,87;814,41;869,96;957,63;992,36;1018,68;1041,66;1033,41;1028,84;1019,5;1014,57;1020,31;1046,76
"188";"Trebnje";690,53;719,34;789,7;853,86;868,65;902,08;920,6;896,52;911,11;925,14;930,33;950,51;970,34
"189";"Trnovska vas";708,72;701,2;782,32;827,17;804,67;782,67;778,99;881,2;892,77;906,63;911,18;936,51;840,73
"190";"Trzin";643,49;686,64;786,92;864,69;828,22;853,24;932,67;966,17;977,97;965,73;1000,36;1017,06;1051,85
"191";"Tržič";612,73;647,01;692,03;745,4;781,3;831;858,58;861,66;874,78;874,39;881,48;899,64;922
"192";"Turnišče";510,59;585,78;590,84;673,05;736,64;762,35;808,76;809,76;805,17;796,01;814,2;811,84;868,27
"193";"Velenje";693,3;717,36;760,84;813,98;824,61;912,77;945,93;959,08;972,45;994,86;978,66;984,42;1012,02
"194";"Velika Polana";522,59;673,44;763,08;855,85;846,87;866,11;895,36;840,51;860,77;858,45;898,99;904,34;911,72
"195";"Velike Lašče";608,65;663,99;716,64;772,47;809,97;829,21;866,86;837,71;812,31;823,81;817,41;845,39;845,38
"196";"Veržej";741,05;771,12;810,35;825,41;861,23;876,38;899,41;921,15;923,85;937,34;900,57;921,78;932,21
"197";"Videm";694,64;717,94;753,66;827,33;817,36;841,07;818,99;808,74;813,91;827,79;812,23;821,65;839,73
"198";"Vipava";655,83;703,36;773,64;821,65;860,51;882,29;897,44;890,03;916,54;940,45;930,08;925,79;956,69
"199";"Vitanje";627,63;671,52;735,91;755,03;740,71;832,55;845;844,23;875,82;881,68;880,88;899,15;1006,24
"200";"Vodice";667,1;687,52;722,55;774,32;825,77;869,25;870,47;854,02;846,88;854,92;864,12;873,54;879,91
"201";"Vojnik";701,15;711,22;747,02;813,06;863,23;872,35;890,01;889,33;890,95;887,6;882;890,38;912,52
"202";"Vransko";645,9;698,87;745,46;835,52;857,39;959,38;914,23;900,22;882,93;894,69;891,91;920,04;945,22
"203";"Vrhnika";610,01;642,66;692,02;773,56;816,85;860,49;886,32;882,05;896,96;909,43;913,99;929,45;955,29
"204";"Vuzenica";658,98;656,29;696,72;737,22;745,07;777,99;812,31;854,53;849,98;828,8;855,74;899,57;944,26
"205";"Zagorje ob Savi";660,91;685,68;740,75;800,31;825,21;861,4;882,38;845,17;871,61;873,29;872,01;891,49;929,29
"206";"Zavrč";636,49;686,23;710,84;842,53;881,87;840,42;784,12;815,7;769,91;737,92;771,97;815,37;1017,55
"207";"Zreče";656,64;696,31;760,33;807,28;785,05;852,2;874,35;887,76;913,88;934,43;948,98;958,81;991,85
"208";"Žalec";658,92;698,81;752,86;819,19;834,17;870,05;888,19;887,67;890,36;891,89;906,51;914,57;940,22
"209";"Železniki";680,86;718,5;773,89;780,94;766,97;808,93;842,18;840,17;892,77;942,54;954,39;982,69;1064,26
"210";"Žetale";760,2;792,45;851,43;861,03;877,93;922,34;923,58;930,99;909,26;901,21;928,99;944,36;947,1
"211";"Žiri";659,35;691,83;762,5;809,67;771,24;812,57;846,92;866,19;885,43;914,22;931,57;935,21;959,61
"212";"Žirovnica";674,32;737,26;771,28;880,13;881,24;907,11;933,34;958,83;990,55;961,66;963,12;994,11;1038,13
"213";"Žužemberk";646,23;665,11;701,15;753,22;778,59;818,01;851,58;837,25;854,39;865,64;882,77;886,12;912,5
